"fips","region","abb","polyname","work.own","intel.own","trust.own","work.oth","intel.oth","trust.oth","age","educ","hhinc","race","wave.race","prim.08","clinton.therm","obama.therm","vote.08","gen.08","gen.04","party.id","ideol","wt.345","female","obama.vote.gen","obama.vote.prim","obama.kerry.dum","obama.kerry.dum2","obama.kerry.3","kerry.no.08","oc.therm.dum","oc.therm.lin"
36,1,"NY","new york",46.6666666666667,23.6666666666667,29.3333333333333,32.6666666666667,26.6666666666667,29,25,5,10,2,5,7,65,75,0,NA,NA,2,4,0.52,1,NA,1,NA,NA,0,NA,1,10
26,2,"MI","michigan",25.5,24,24,37,20.5,20.5,52,7,17,1,5,NA,30,35,1,1,2,7,6,0.32,0,0,NA,0,NA,0,NA,1,5
8,4,"CO","colorado",18.5,12,18.5,18.5,12,19,44,4,13,1,5,NA,25,40,1,1,2,5,4,0.39,1,0,NA,0,NA,0,NA,1,15
26,2,"MI","michigan",24.5,30.5,24.5,61.5,50.5,49.5,82,6,13,1,5,2,75,75,1,2,1,2,2,0.23,0,1,0,0,0,0,0,0,0
1,3,"AL","alabama",38.3333333333333,40,36.6666666666667,35,36.6666666666667,36.6666666666667,53,2,1,1,5,2,50,0,1,2,NA,3,3,8.37,1,1,0,0,NA,0,NA,0,-50
36,1,"NY","new york",44,50.5,50,62.5,68.5,62.5,39,4,15,1,5,NA,65,0,1,1,2,7,5,0.76,1,0,NA,0,NA,0,NA,0,-65
12,3,"FL","florida",43,49,50,49,43,42.5,49,5,15,1,5,NA,0,15,1,1,2,7,7,0.73,1,0,NA,0,NA,0,NA,1,15
53,4,"WA","washington",56.5,36.5,68.5,31,36.5,43,67,4,7,1,5,2,50,25,1,1,2,5,4,1.81,1,0,0,0,NA,0,NA,0,-25
27,2,"MN","minnesota",43,40.5,50,46.5,44,46.5,66,6,11,1,5,NA,20,40,1,1,2,5,4,0.16,1,0,NA,0,NA,0,NA,1,20
6,4,"CA","california",12.5,12.5,12.5,12.5,12.5,12.5,44,5,13,1,5,NA,50,50,1,1,2,7,6,0.44,1,0,NA,0,NA,0,NA,0,0
37,3,"NC","north carolina",49,49,49.5,56,55.5,55.5,59,5,4,1,5,7,75,80,1,2,1,2,3,0.31,0,1,1,0,0,0,0,1,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,NA,NA,2,5,5,NA,NA,NA,NA,0,NA,0,NA,0,0
17,2,"IL","illinois",62,49,62,63,62,74,34,4,15,1,5,NA,65,60,0,NA,2,7,4,NA,0,NA,NA,0,NA,0,NA,0,-5
55,2,"WI","wisconsin",30.5,18,18,30.5,25,17.5,59,4,10,1,5,NA,35,10,1,1,2,7,4,0.17,1,0,NA,0,NA,0,NA,0,-25
26,2,"MI","michigan",26.6666666666667,28.3333333333333,31,26.6666666666667,29,30.3333333333333,50,5,10,1,5,2,100,85,1,2,1,1,2,0.53,1,1,0,0,0,0,0,0,-15
27,2,"MN","minnesota",0,0,0,0,0,0,30,9,1,4,5,NA,1,1,1,1,2,7,6,1.25,0,0,NA,0,NA,0,NA,0,0
36,1,"NY","new york",49,43.5,50.5,44,49.5,49.5,52,3,16,1,5,2,75,75,1,2,NA,3,3,0.49,1,1,0,0,NA,0,NA,0,0
39,2,"OH","ohio",46.5,47,48,48,48,49,53,3,11,1,5,NA,50,65,1,2,2,3,4,0.45,1,1,NA,0,NA,-1,NA,1,15
50,1,"VT","vermont",50,49.5,49,49,49.5,49,28,6,12,1,5,2,45,80,1,2,1,3,2,0.57,1,1,0,0,0,0,0,1,35
6,4,"CA","california",0,12,12.5,12,11,23.5,29,5,13,4,5,NA,100,0,0,NA,NA,4,4,0.85,1,NA,NA,NA,NA,0,NA,0,-100
42,1,"PA","pennsylvania",0,0,0,0,0,0,47,4,13,1,5,NA,40,40,1,2,2,5,4,NA,1,1,NA,0,NA,-1,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,75,50,NA,NA,1,2,4,NA,NA,NA,0,NA,NA,0,NA,0,-25
39,2,"OH","ohio",43,44.3333333333333,45,45,45.3333333333333,45.6666666666667,35,5,10,1,5,NA,25,50,1,1,2,7,6,0.46,1,0,NA,0,NA,0,NA,1,25
34,1,"NJ","new jersey",50,50,56,56.5,55.5,56.5,64,4,14,1,5,7,50,100,1,2,2,3,4,0.32,1,1,1,0,NA,-1,NA,1,50
50,1,"VT","vermont",25.5,30.5,34.5,16,32,38.5,27,7,6,1,5,2,88,42,1,2,NA,2,3,7.75,1,1,0,0,NA,0,NA,0,-46
5,3,"AR","arkansas",14,15.5,23.5,43.5,43,40.5,23,4,13,1,5,NA,75,0,1,1,2,7,6,NA,0,0,NA,0,NA,0,NA,0,-75
48,3,"TX","texas",0,0,0,0,0,0,35,3,10,1,5,NA,NA,NA,1,1,2,6,4,1.06,1,0,NA,0,NA,0,NA,NA,NA
25,1,"MA","massachusetts",24,24,21.5,28,32.5,33,19,2,19,1,5,NA,75,45,1,2,NA,5,4,3.46,1,1,NA,0,NA,0,NA,0,-30
12,3,"FL","florida",6.5,15.5,17,28,27,21.5,65,7,13,4,5,3,80,75,1,2,1,1,2,NA,1,1,0,0,0,0,0,0,-5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,80,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,0,NA,1,30
42,1,"PA","pennsylvania",41.3333333333333,48,49.3333333333333,45.3333333333333,52.6666666666667,49.6666666666667,42,7,16,1,5,2,30,70,1,2,1,1,4,0.44,0,1,0,0,0,0,0,1,40
24,3,"MD","maryland",12,12.5,12,12.5,12,12,42,5,12,1,5,7,0,0,1,1,2,1,3,0.46,1,0,1,0,NA,0,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,20,NA,NA,2,7,7,NA,NA,NA,NA,0,NA,0,NA,1,10
6,4,"CA","california",0,0,0,0,0,0,46,6,15,4,5,7,100,100,1,2,1,1,2,0.46,1,1,1,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,40,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,0,NA,1,20
18,2,"IN","indiana",43,49.5,53.5,67.5,47,54.5,36,4,13,1,5,NA,0,5,1,1,2,7,7,2.58,1,0,NA,0,NA,0,NA,1,5
19,2,"IA","iowa",43,49.5,49,56,49,50,59,6,13,1,5,NA,20,30,1,1,2,6,5,0.15,1,0,NA,0,NA,0,NA,1,10
18,2,"IN","indiana",46,46,46.5,50,49.5,49.5,48,3,14,1,5,2,75,40,1,2,1,2,4,0.53,1,1,0,0,0,0,0,0,-35
49,4,"UT","utah",49.5,49.5,46,59,48.5,47,32,6,19,1,5,NA,0,75,1,1,2,6,5,0.7,0,0,NA,0,NA,0,NA,1,75
40,3,"OK","oklahoma",6,6,25,6,6,24.5,50,5,2,1,5,NA,40,0,1,1,2,7,6,0.36,1,0,NA,0,NA,0,NA,0,-40
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,67,75,NA,NA,1,1,4,NA,NA,NA,1,NA,NA,0,NA,1,8
31,2,"NE","nebraska",0,0,0,0,0,0,37,4,14,1,5,2,50,0,1,5,1,6,4,0.45,1,0,0,0,0,0,0,0,-50
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20,10,1,NA,1,1,4,0.75,NA,NA,0,NA,NA,0,0,0,-10
29,2,"MO","missouri",43,37.5,49,49,43.5,49,45,6,10,1,5,NA,5,10,1,1,2,7,5,0.4,0,0,NA,0,NA,0,NA,1,5
36,1,"NY","new york",49.5,49,43.5,42.5,42.5,36.5,37,3,11,1,5,2,60,25,0,NA,1,3,4,0.49,1,NA,0,NA,NA,0,1,0,-35
17,2,"IL","illinois",45.3333333333333,48,45.6666666666667,45,47.3333333333333,45,46,5,18,1,5,NA,40,25,1,1,2,7,6,0.34,0,0,NA,0,NA,0,NA,0,-15
27,2,"MN","minnesota",36,36,42.5,62,53,50.5,57,3,10,1,5,2,NA,NA,1,1,1,3,5,0.29,1,0,0,1,1,1,0,NA,NA
6,4,"CA","california",50,50,50,50,50,50,34,7,16,1,5,7,75,75,1,2,1,1,2,NA,1,1,1,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,60,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,0,NA,1,55
4,4,"AZ","arizona",25,13,25,37,12,37,71,6,11,1,5,2,85,30,NA,NA,1,1,2,NA,1,NA,0,NA,NA,0,NA,0,-55
54,3,"WV","west virginia",36,37,44,37.5,37,43.5,59,8,19,1,5,2,99,90,1,2,1,1,2,NA,1,1,0,0,0,0,0,0,-9
8,4,"CO","colorado",30.5,30.5,44,24.5,31,37.5,34,6,7,1,5,2,75,65,1,2,1,1,3,0.27,1,1,0,0,0,0,0,0,-10
42,1,"PA","pennsylvania",24.5,36.5,30.5,25,31,25,50,3,15,1,5,NA,0,0,1,1,2,7,6,0.73,0,0,NA,0,NA,0,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,48,NA,NA,1,5,4,NA,NA,NA,NA,NA,NA,0,NA,0,-1
55,2,"WI","wisconsin",19.5,18.5,19,18.5,18.5,18,25,4,15,1,5,2,75,75,1,2,1,2,3,0.45,1,1,0,0,0,0,0,0,0
55,2,"WI","wisconsin",18.5,18,18,49,56.5,43,75,3,11,1,5,NA,10,60,1,2,2,3,4,0.59,1,1,NA,0,NA,-1,NA,1,50
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2,6,6,NA,NA,NA,NA,0,NA,0,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,85,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,0,NA,1,80
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,45,45,1,NA,1,2,4,0.33,NA,NA,0,NA,NA,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,50,NA,NA,2,7,4,NA,NA,NA,NA,0,NA,0,NA,1,25
9,1,"CT","connecticut",28.5,29.5,30,26,27,27.5,43,5,19,1,5,2,45,45,1,2,1,6,4,0.39,1,1,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,15,75,NA,NA,1,3,3,NA,NA,NA,1,NA,NA,0,NA,1,60
55,2,"WI","wisconsin",18,17.5,15,31.5,31,35,58,3,9,1,5,7,25,50,0,NA,2,2,2,0.26,1,NA,1,0,NA,0,NA,1,25
18,2,"IN","indiana",43,44,43,49.5,43.5,37.5,36,6,17,1,5,2,70,50,1,2,1,3,4,0.42,1,1,0,0,0,0,0,0,-20
12,3,"FL","florida",6,6.5,5.5,6,5.5,6,40,4,16,4,5,NA,35,10,1,1,2,7,6,1.58,1,0,NA,0,NA,0,NA,0,-25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,75,90,0,NA,NA,2,5,5.61,NA,NA,1,NA,NA,0,NA,1,15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,35,70,1,2,1,3,2,0.2,NA,1,1,0,0,0,0,1,35
19,2,"IA","iowa",23,25.5,25.5,21.5,21.5,23,52,6,13,1,5,NA,25,75,1,1,2,5,5,0.11,0,0,NA,0,NA,0,NA,1,50
25,1,"MA","massachusetts",21.5,15.5,29,14,22,23,20,2,16,1,5,NA,NA,NA,1,2,NA,5,3,3.64,1,1,NA,0,NA,0,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,2,7,6,0.15,NA,0,NA,0,NA,0,NA,0,0
29,2,"MO","missouri",12,13,12,100,100,100,50,3,12,1,5,2,60,1,1,1,1,5,4,0.5,0,0,0,1,1,1,0,0,-59
19,2,"IA","iowa",30.5,18,17.5,80.5,62,61,39,4,11,1,5,NA,0,0,1,1,NA,6,6,0.36,0,0,NA,NA,NA,0,NA,0,0
6,4,"CA","california",61.3333333333333,62.3333333333333,61.6666666666667,47,47,58.6666666666667,48,7,15,2,5,NA,50,75,1,2,2,6,5,0.36,0,1,NA,0,NA,-1,NA,1,25
26,2,"MI","michigan",49,37,37,50,49,50,78,3,13,1,5,NA,60,40,NA,NA,2,7,6,NA,0,NA,NA,0,NA,0,NA,0,-20
42,1,"PA","pennsylvania",19,12,18,12.5,12,18.5,55,6,13,1,5,NA,0,0,1,1,2,7,6,0.25,1,0,NA,0,NA,0,NA,0,0
12,3,"FL","florida",45.5,39,45,46.5,40,46.5,65,4,8,1,5,2,90,75,1,2,1,3,2,0.29,0,1,0,0,0,0,0,0,-15
48,3,"TX","texas",24.5,25,24.5,25,25,25,45,7,5,2,5,7,70,80,1,2,1,1,5,0.6,1,1,1,0,0,0,0,1,10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,100,25,1,2,1,1,2,0.11,NA,1,0,0,0,0,0,0,-75
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25,10,NA,NA,1,2,6,NA,NA,NA,0,NA,NA,0,NA,0,-15
6,4,"CA","california",65,42,43,81,42,43,46,6,13,1,5,7,25,80,1,2,1,1,2,NA,0,1,1,0,0,0,0,1,55
20,2,"KS","kansas",27,27.5,28.5,27.5,27.5,27.5,51,5,13,1,5,7,45,85,1,2,1,2,3,0.21,0,1,1,0,0,0,0,1,40
6,4,"CA","california",25,11,24,13,11,24,49,4,16,2,5,7,50,75,1,2,1,2,2,NA,1,1,1,0,0,0,0,1,25
12,3,"FL","florida",31.5,31,30.5,30.5,31,30.5,53,5,19,1,5,NA,0,0,1,1,2,7,7,0.2,0,0,NA,0,NA,0,NA,0,0
41,4,"OR","oregon",36.5,37.5,37.5,37.5,37.5,36.5,65,6,14,1,5,2,95,80,1,2,1,1,2,3.78,1,1,0,0,0,0,0,0,-15
40,3,"OK","oklahoma",43,43,43,42.5,43,43,41,7,15,1,5,NA,5,50,1,2,2,4,4,0.59,0,1,NA,0,NA,-1,NA,1,45
25,1,"MA","massachusetts",49,49,50,49.5,49,50,47,8,16,1,5,2,80,70,1,2,1,3,2,NA,1,1,0,0,0,0,0,0,-10
36,1,"NY","new york",18.5,18,18.5,43.5,43.5,30,22,2,15,1,5,2,65,55,1,2,1,2,2,NA,1,1,0,0,0,0,0,0,-10
40,3,"OK","oklahoma",31,31.5,31,41,18,40.5,50,4,10,1,5,2,55,25,1,1,1,2,2,0.32,1,0,0,1,1,1,0,0,-30
36,1,"NY","new york",43.6666666666667,40.6666666666667,43,44.3333333333333,46.6666666666667,44,51,7,11,1,5,7,85,85,1,2,1,2,4,0.18,1,1,1,0,0,0,0,0,0
33,1,"NH","new hampshire",20.5,21.5,27,31.5,34.5,31.5,44,4,19,1,5,NA,0,0,1,1,2,7,6,NA,1,0,NA,0,NA,0,NA,0,0
34,1,"NJ","new jersey",55.5,43.5,55.5,62,43,49.5,62,4,13,1,5,NA,2,25,0,NA,NA,7,6,0.15,1,NA,NA,NA,NA,0,NA,1,23
36,1,"NY","new york",44,32,31,43,31,31,53,5,11,1,5,NA,25,50,1,1,2,7,6,0.32,0,0,NA,0,NA,0,NA,1,25
42,1,"PA","pennsylvania",37,43,43,61.5,43.5,55,40,6,19,1,5,NA,75,40,1,1,2,7,4,0.39,1,0,NA,0,NA,0,NA,0,-35
17,2,"IL","illinois",6,28,15,69.5,61.5,70.5,18,2,7,4,5,7,75,95,1,2,NA,2,4,6.73,0,1,1,0,NA,0,NA,1,20
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,30,NA,NA,2,6,4,NA,NA,NA,NA,0,NA,0,NA,1,15
17,2,"IL","illinois",24.6666666666667,26,24.6666666666667,24.3333333333333,26,24.3333333333333,57,7,19,1,5,7,45,85,1,2,1,1,2,0.23,0,1,1,0,0,0,0,1,40
27,2,"MN","minnesota",25,25,25,62,63,63,54,3,7,1,5,NA,55,NA,NA,NA,2,6,7,NA,1,NA,NA,0,NA,0,NA,NA,NA
12,3,"FL","florida",30.5,12,12.5,73,49,49.5,43,6,14,1,5,7,60,75,1,2,1,2,3,0.34,1,1,1,0,0,0,0,1,15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,35,NA,NA,2,6,5,NA,NA,NA,NA,0,NA,0,NA,1,35
36,1,"NY","new york",43.5,37,44,49,49.5,49.5,49,4,7,1,5,NA,20,25,1,1,2,7,6,3.56,1,0,NA,0,NA,0,NA,1,5
48,3,"TX","texas",30.5,31,62,62.5,68.5,74.5,69,3,12,1,5,7,25,45,1,2,2,1,6,0.51,1,1,1,0,NA,-1,NA,1,20
39,2,"OH","ohio",62,30.5,30,50,37.5,37,43,4,10,1,5,7,50,70,1,2,1,3,4,0.31,1,1,1,0,0,0,0,1,20
16,4,"ID","idaho",37.5,36.5,37.5,37,37.5,37,47,8,16,1,5,7,75,90,1,2,1,1,3,0.28,1,1,1,0,0,0,0,1,15
36,1,"NY","new york",49.5,49.5,50,50,50,49.5,34,6,8,1,5,NA,10,30,1,1,2,5,6,1.1,0,0,NA,0,NA,0,NA,1,20
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,30,NA,NA,2,6,6,NA,NA,NA,NA,0,NA,0,NA,1,20
38,2,"ND","north dakota",6.5,12,10.5,27.5,18.5,29.5,29,6,15,1,5,NA,0,0,1,1,2,7,6,1.32,0,0,NA,0,NA,0,NA,0,0
18,2,"IN","indiana",18.5,12,25,18.5,19,19,53,2,12,1,5,NA,20,15,0,NA,NA,7,6,0.6,0,NA,NA,NA,NA,0,NA,0,-5
4,4,"AZ","arizona",25.5,43.5,30,25.5,42.5,36.5,76,6,16,1,5,2,75,75,1,2,1,1,2,0.41,0,1,0,0,0,0,0,0,0
27,2,"MN","minnesota",29.3333333333333,52,34,36.3333333333333,25,28.6666666666667,52,6,16,1,5,7,60,80,1,2,1,1,2,0.19,0,1,1,0,0,0,0,1,20
8,4,"CO","colorado",0,0,0,1,0,0,39,6,16,1,5,7,75,90,1,2,1,3,3,NA,1,1,1,0,0,0,0,1,15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,55,80,1,2,1,2,4,NA,NA,1,1,0,0,0,0,1,25
39,2,"OH","ohio",16.6666666666667,12,12.6666666666667,17,12.6666666666667,12.6666666666667,44,4,13,1,5,NA,0,0,1,1,2,7,7,0.33,1,0,NA,0,NA,0,NA,0,0
37,3,"NC","north carolina",12.5,12.5,12.5,11.5,11.5,12,68,7,11,1,5,NA,10,5,1,1,2,6,5,0.31,0,0,NA,0,NA,0,NA,0,-5
27,2,"MN","minnesota",32.3333333333333,34.3333333333333,37,47.3333333333333,50.3333333333333,51.3333333333333,34,4,15,1,5,NA,0,10,0,NA,NA,5,5,0.65,1,NA,NA,NA,NA,0,NA,1,10
41,4,"OR","oregon",31.5,30.5,31,31,31,31,60,3,9,1,5,2,80,60,1,2,1,1,4,0.22,1,1,0,0,0,0,0,0,-20
44,1,"RI","rhode island",0,0,1,49,49.5,49.5,28,3,2,1,5,NA,50,NA,0,NA,NA,4,4,3.49,0,NA,NA,NA,NA,0,NA,NA,NA
36,1,"NY","new york",43.5,48.5,48,43.5,49.5,49,56,3,18,1,5,NA,20,35,1,1,2,6,5,0.49,1,0,NA,0,NA,0,NA,1,15
33,1,"NH","new hampshire",49.5,49.5,49.5,49.5,50,49.5,37,5,13,1,5,2,NA,NA,1,2,1,3,4,0.44,0,1,0,0,0,0,0,NA,NA
37,3,"NC","north carolina",13,0,25,49,36,86,18,2,10,1,5,7,79,80,0,NA,NA,2,2,6.18,0,NA,1,NA,NA,0,NA,1,1
55,2,"WI","wisconsin",50,46.5,48.5,51.5,43.5,49.5,70,6,10,1,5,NA,25,50,1,1,2,5,6,0.73,0,0,NA,0,NA,0,NA,1,25
12,3,"FL","florida",35,40,37.5,35,42.5,42.5,89,6,11,1,5,2,75,50,NA,NA,1,1,2,4.98,0,NA,0,NA,NA,0,NA,0,-25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,55,NA,NA,2,5,5,NA,NA,NA,NA,0,NA,0,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,45,55,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,0,NA,1,10
26,2,"MI","michigan",9.5,6.5,13,7.5,6,10,59,4,4,1,5,2,75,65,1,2,1,1,4,0.17,1,1,0,0,0,0,0,0,-10
26,2,"MI","michigan",25,25.5,25,37,25,25,46,6,11,1,5,2,50,5,1,1,1,3,2,0.35,0,0,0,1,1,1,0,0,-45
19,2,"IA","iowa",49.6666666666667,53,49.3333333333333,49.6666666666667,53,49.3333333333333,36,6,13,1,5,NA,50,49,1,1,2,6,4,0.39,1,0,NA,0,NA,0,NA,0,-1
6,4,"CA","california",8,43.3333333333333,49.3333333333333,55.3333333333333,40,41.6666666666667,34,4,9,4,5,7,85,92,1,2,NA,2,5,7.04,0,1,1,0,NA,0,NA,1,7
29,2,"MO","missouri",26.5,24,24,17,22,17.5,58,7,10,1,5,7,35,40,1,2,1,3,3,0.21,1,1,1,0,0,0,0,1,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,10,20,0,NA,NA,3,2,2.05,NA,NA,1,NA,NA,0,NA,1,10
26,2,"MI","michigan",49.5,49,53,68.5,71,71.5,29,3,10,1,5,2,40,40,1,3,1,2,2,5.19,0,0,0,0,0,0,0,0,0
26,2,"MI","michigan",21.5,12.5,46.5,23,12,45.5,36,2,1,1,5,2,50,50,1,2,1,3,2,0.86,0,1,0,0,0,0,0,0,0
39,2,"OH","ohio",49,50,50,50,50,50,41,6,11,1,5,2,70,75,1,2,1,1,2,4.06,1,1,0,0,0,0,0,1,5
20,2,"KS","kansas",32.6666666666667,31,29.3333333333333,29,31.3333333333333,37.3333333333333,22,4,7,1,5,7,35,75,0,NA,2,1,4,1.02,1,NA,1,0,NA,0,NA,1,40
19,2,"IA","iowa",11.6666666666667,12,12.3333333333333,12.3333333333333,12,12,29,6,7,1,5,NA,2,91,1,2,2,2,3,0.43,1,1,NA,0,NA,-1,NA,1,89
51,3,"VA","virginia",49.5,49.5,49.5,49.5,49.5,49.5,62,7,16,1,5,2,75,50,1,2,1,1,3,0.17,1,1,0,0,0,0,0,0,-25
48,3,"TX","texas",32,30,31.5,31,30,31.5,57,4,10,1,5,NA,0,0,NA,NA,2,7,6,NA,0,NA,NA,0,NA,0,NA,0,0
48,3,"TX","texas",50,37.5,47,54,51,49,48,6,12,2,5,2,95,55,1,2,2,2,6,0.5,0,1,0,0,NA,-1,NA,0,-40
17,2,"IL","illinois",43.6666666666667,44.3333333333333,44,43,44,43,54,4,11,1,5,NA,0,0,1,1,2,6,4,0.25,1,0,NA,0,NA,0,NA,0,0
6,4,"CA","california",7,6,29,5,6,20,57,7,11,1,5,7,91,99,NA,NA,1,1,1,NA,1,NA,1,NA,NA,0,NA,1,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,25,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,0,NA,0,-25
55,2,"WI","wisconsin",51.5,49,49.5,50,49,47,31,3,9,1,5,7,50,50,1,2,1,3,4,0.76,1,1,1,0,0,0,0,0,0
34,1,"NJ","new jersey",32,32,30,37,37.5,36.5,37,6,13,1,5,2,NA,NA,0,NA,NA,3,5,0.62,1,NA,0,NA,NA,0,NA,NA,NA
27,2,"MN","minnesota",40,38,40.5,43.5,45.5,35.5,50,7,15,1,5,7,51,52,1,2,1,2,5,0.17,1,1,1,0,0,0,0,1,1
6,4,"CA","california",39,40,40,37,37,38,47,6,19,1,5,7,51,75,NA,NA,1,1,4,NA,1,NA,1,NA,NA,0,NA,1,24
12,3,"FL","florida",20.5,24,27.5,65,70.5,58.5,21,2,19,1,5,2,80,73,1,1,1,2,2,2.93,0,0,0,1,1,1,0,0,-7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,25,NA,NA,NA,NA,3,3,NA,NA,NA,1,NA,NA,0,NA,NA,NA
6,4,"CA","california",41.3333333333333,43,41.3333333333333,41.6666666666667,42.6666666666667,41,55,4,19,1,5,NA,40,55,1,2,2,6,4,0.13,1,1,NA,0,NA,-1,NA,1,15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,60,100,NA,NA,NA,3,5,NA,NA,NA,1,NA,NA,0,NA,1,40
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50,75,NA,NA,1,2,3,NA,NA,NA,1,NA,NA,0,NA,1,25
27,2,"MN","minnesota",33,40,47.5,54.5,56,54,69,3,9,1,5,2,65,25,0,NA,1,3,4,0.16,0,NA,0,NA,NA,0,1,0,-40
42,1,"PA","pennsylvania",24.5,25,25,25,25,25,51,6,16,1,5,NA,20,20,1,1,2,7,4,0.31,0,0,NA,0,NA,0,NA,0,0
37,3,"NC","north carolina",36,41.3333333333333,41,41.3333333333333,39.6666666666667,41,50,5,11,1,5,2,95,75,1,2,1,1,1,0.36,0,1,0,0,0,0,0,0,-20
55,2,"WI","wisconsin",24.3333333333333,26.6666666666667,24.3333333333333,21.3333333333333,27,24.3333333333333,51,6,12,1,5,7,55,75,1,2,1,1,3,0.2,0,1,1,0,0,0,0,1,20
6,4,"CA","california",18,12.5,18.5,18.5,12.5,18.5,53,6,16,1,5,NA,0,25,1,1,2,5,4,0.16,0,0,NA,0,NA,0,NA,1,25
19,2,"IA","iowa",35,32,37.5,36,30,37.5,48,5,3,1,5,2,80,70,1,2,1,5,5,0.33,1,1,0,0,0,0,0,0,-10
29,2,"MO","missouri",44,44,40,57,42,52,44,6,13,1,5,NA,50,50,1,1,2,6,5,NA,1,0,NA,0,NA,0,NA,0,0
39,2,"OH","ohio",49,49,49,49.5,49,49.5,45,6,9,1,5,NA,0,0,1,1,2,6,5,0.15,1,0,NA,0,NA,0,NA,0,0
47,3,"TN","tennessee",44.5,45.5,45,45,44.5,44.5,76,9,15,1,5,7,60,75,1,2,1,3,4,0.42,0,1,1,0,0,0,0,1,15
12,3,"FL","florida",12,12,12,12,12,12.5,79,3,10,1,5,7,50,75,1,2,1,3,2,0.69,0,1,1,0,0,0,0,1,25
55,2,"WI","wisconsin",49,50,50,50,50,50,65,6,15,1,5,NA,10,75,NA,NA,2,5,4,NA,1,NA,NA,0,NA,0,NA,1,65
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,75,55,0,NA,NA,3,2,NA,NA,NA,0,NA,NA,0,NA,0,-20
34,1,"NJ","new jersey",26,25.5,20,50,39.5,40,44,3,13,1,5,NA,1,0,1,1,2,7,6,0.74,1,0,NA,0,NA,0,NA,0,-1
48,3,"TX","texas",13.5,12.5,24.5,32.5,42,46,52,4,10,1,5,NA,35,25,1,1,2,7,6,0.4,1,0,NA,0,NA,0,NA,0,-10
